monolingual,Sub-task B
jay sri ram bagot badiya pratik bas kam dala karo,1
jio bro,1
guesseducated logo kuch zada samjhana padta aajkal,1
yaar kitta chilati,1
sahi bolun mai bilkul pasand krta reviews tmhare bharat negative bola tmne phr dkhta hun tmhari soch wajah keep,1
ledkiyo agey kisne kiya kisne sarpe bithaya hum ledko agar koi ledki kisi ledke thappad mara public ledke galat samajte bina soche samjhe matlab kuch galti बर्फ ऐसा सोच जनता मतलब ledko महिलाओं इतना ऊपर bithaya महिलाओं गलती लोगो लगता हैबस गलती सिर्फ मेल यानि बर्फ,0
बोहोत ज्यादा overacting,1
हमारे देश समलैंगिकों नागरिकता मिल चुकी आधार समान adhikar homosexuals लोगो kko desh rksha भूमिका krne mouka मिलना किये,1
sun स्वास्थ्य,1
प्रतिक बोराडे आना itna लिखने जुर्रत मैंने सिर्फ वीडियो बनाने थाअपने मोदी भक्ति दंडवत,1
आदर विचारों महोदय battmiz ज़ाहिल औरतो वजह jinhey feminism वजह ladkiya खुद नज़रो गिर चुकी chze नज़र आती लड़कियों आपको आजादी पहने परंतु जरुरी समय bikini घूमो ऐसा तोह माफ़ कीजिये आपके पति baki लड़को अंतर कहाँ ड्रेसिंग समझ aaj बलात्कार karan परंतु देखा जाए छोटे kapdey कामुकता पैदा सोना logo मानसिकता विकृत कहाँ जल्दी ऐसी chze grab वजह उन्हे चौथा bachi ladkiyo फर्क दीखता उन्हे एसआरएफ हवस dikhti feminism नाम dozen लड़का मित्र बनाकर खुद गरम समझना badkpan नारीवाद पूछना चाहती बेटियों संस्कार देना चाहती हज़ारो bnao पति खुद ghinn आती नारीवाद नाम दर्जन लड़को लिंग कहना मेरी मेरी भावना mai करुँगी ऐसी भावना इसलिए ladko लिंग करो इसलिए सुकून मिलता लड़किया अवधि अवधि चिल्लाती ऊपरवाला chupane वाली उतनी अवधि दिनों साडी chze पूजनीय योग्य रक्तरंजित witch शर्म those feminism their विचारधारा western संस्कृति रक्तरंजित नरक,0
wow woww tum judke दुनिया really देखा सीखा,1
muze लगता वहां भारत सबकी जीने अधिकार hona चाहिएऔर सबको देश seva karneka आटा milna chahiyekya pata mahabharat tarah kisi jang koi shikhadi mile jang jitale,1
jio,1
arrre yrrr inn नारीवादी logon sunta kon jhaat kisi koi fark nhi padhta voh kya sochti humme toh lagi kiski aukaad humara mind change ske saaalaa #fakefeminismhttpwwwyoutubecomresultssearch_query=%23fakefeminism,0
kabhi sabh baato upar uthke karo yaarsach mai pakk gaya aapka dekh kaap choddke kkoi ngo joine karo yaarkya libera kya faminise yehi bolte rehte haar memai sach pareshan hogaya aapke dekh dekh,1
1225 spoiler diya,1
abe cutiye usse real life mat kuch kaam koi topic video banao fuck man,0
kaha ata log sale,0
“bollywood dimaag chutiya hee tha chutiya tha aaj chutiya hee hai”,1
bilkul sahi kah rhe,1
bhot sahi bola point feminism jhota jhanda chalte hume problem nhi feminist feminism,1
super banda sapne liye ladki chod deta that's true motivation,1
बहूत जहाँगीर जैसों चाहिए सिर्फ पैसे लालच मरदो जिंदगी खेलती सजा ईनाम बहूत काम,1
accha मुकाबला रावत साहब,1
nan,1
मैं तुम्हारी बिग आनंद,1
हमारे देश अच्छा चीज़ kharab लोग जुड़ usko kharab क्र देते मतलब कहाँ चीज़ अच्छा ख़राब प्रचार भूखे लोगो हटाया चलो चलते,1
यूपी,1
बॉलीवुड पूरी चुतियापा,1
सबको कहाँ लोग जिंदगी जिए हमलोग,1
अरे लल्लनटॉप वालों श्वेतांक फिल्म समीक्षक बना हमसे बदला तुमको हमारा नाम सौरभ द्विवेदी वास्ता श्वेतांक दूसरा काम,1
सेवा। बोले कहाँ ठीक हलेकिन आपको वीडियो बनानी चाहिएएक पुरे बनानी चाहिए,1
गद्दारी लाइन पैदा भारत पैसे रोटेशन लाइन आते हरामी,0
शहरी नक्सलियों विंग आलोचकों माफिया,1
लोग जनम समलैंगिक सहज रूप बीमारी मानसिक bemari हैआईटी'स स्पष्ट,0
बहिष्कार खाना अछि बनती,1
लोग सीखते लड़की लड़का दोनों समाज जबकि सार्वभौमिक सत्य मेरे laudna समझ,1
यूपी मेरे संख्या सहारनपुर,1
शायरी whatsapp स्थिति आना,1
आराम भाईशेयर लायक वीडियो बनाया करो याररिव्यु वीडियो काम काम,1
सौरभजी अरुंधती रॉय बोलनेके आजादी इस्तेमाल उसकी न्युज बनाके बढावा,1
यार तुम हिसाब पोशाक बड़ी अच्छे चुनते,1
पीला कमीज जाट गांड,1
इतना देर,1
maaa आँख नारीवादी,0
तारे बीच कारबन,1
राजा,1
ाचा अच्छा,1
फ़िल्म अच्छी,1
मुल्लो कुंज धर्म परिवर्तन गयाइस रैंडी पकड़ बन्द मूत्र पिलाओशुद्धि करो पंक्ति,0
मोदी शाह कक्षाएं बिल्ला रही रंडी,0
स्क्रीन समय लेकर महोदया ध्यान,1
अच्छा महोदय लगे रहो,1
रोज समुद्र rahe मदद वाला,1
ाचा लगा गालिया bakna शुरू वापस ठाँसक,1
मैं सोच अनुभाग प्रतिबंध लगा चाहिए समझते सेकंड पास चाहिए कहाँ मानसिक ीन्हो सोच वीडियो देख देख क्र aona हाल क्र लिया sooo sicho लोग इलाज करवाओ सोच hrktein करो,1
मेरे पिता कहना प्रशंसक,1
आवाज़ कमबख्त भास्कर सोनम कमबख्त कपूर khn,0
लोंदा किश krleta आके बिना लड़की अनुमति लड़की संकेत kul मिला क्र frzi थीऔर chutiye 5-5 बार देख,1
मुंबई chakala massage संपर्क,1
shahid khan🤔🤨 family आदमी dekhi,1
अच्छा राय,1
unnao hue bahut बड़े हादसे tankar फटने समाचार दिखाएँ,1
जिओ भाईदिल bol,1
मुंबई 15cr आबादी usko कहाँ लड़की dikhti park mein madarchod,0
215httpswwwyoutubecomwatchv=zzsaudkxq1m&t=2m15s jjahhan see gand base tube ghusa doongaboom boom bajega,0
great,1
mast,1
kaunsi rocket science lagayi samjhana zara,1
mast acting 3no chnadu super palkesh nolag raha,1
sir shirt kaha late,1
bhaii bhott shii bolaa koi bolta shi baki paise piche lge,1
harshit rawat abb maine kam sutra padhi gar tune padhi marva fir,0
waah bhaai maza gaya kisine genuine baat kahi dil jeet liya,1
yaar log aise baat kehte aap unhe maaf krdo kyuki log randi nhi,0
kabir singh bahut acchi thi because iss hum bahut kuch sikhe kis tarh log barbad jate pyar isse bach rahna zindagi,1
1114httpswwwyoutubecomwatchv=j2j5sssp5yq&t=11m14s 1200httpswwwyoutubecomwatchv=j2j5sssp5yq&t=12m00s excellent points prateek maza gya,1
yarr climax ashu स्वचालित nikal,1
liberals गांड jali,0
are शीघ्र already upload kiya,1
xtra ordinary journey fakir करो bhaidhanush favrt bro,1
लगता तेरी kisi लड़की zoooorrrr परंतु,0
पढ़े लिखो अर्बन नक्सल कहना है। बजे इज्जत कैसे करेगा कोई। दिन रात जुठ बोलता है।,1
कानून सहारा लेकर परिवार कोर्ट जाकर पत्नी सुखी सकती। पारिवारिक रिवाज समाप्त जायेगी ।प्रेम समाप्त जायेगा,1
बिक्री,1
thanks महोदय टिकट पुस्तक,1
गुटखा खाके कक्ष,0
रिस्तेदार सुना bhosdi बड़े सिंह प्रकार movieme gand ब्रेक बकचोदी kar,0
आयुष शांति मेरे पिता तुझे भूमि,0
nan,1
sala चुतीये बिना kaa lodu कक्ष संदीप महश्वेरी टट्टी bol lodu क्यु,0
विजय शर्मा sahi,1
जिओ मेरे sher,1
हिंदुस्तानी भाऊ गालीबाज तुरंत मिलीयन सब्सक्राइबर्स मिल जाते हमारे सालों मेहनत इनके सब्सक्राइबर्स इतने बढ़ इंडियंस चुतियां,1
कैसा diya थोड़ा अनुभव ghuma घुमा दिमाग sahi तुमने,1
बड़े सिंह बहोत खूबसूरत film ईमानदारी pyar प्रतिबद्ध लोगो कहानी fuckboy night stand विभिन्न भागीदारों जहा बढ़ावा देना तथा बड़े सिंह jaisi खूबसूरत bahot काम देखने बहु mahatvapurna फ़िल्म पीना glorify चार more शॉट्स कृप्या बड़े सिंह पीना karne बड़े जीवन शुल्क दौर dikhaya,1
बोलने आजादी झूठ बोलने अधिकार,1
प्रतिक बोराडे नमस्ते मैं know अज्ञान आनंद। परंतु आंखें खोल जियो तुम हो। गूगल करो पढ़ो तुम्हे खबर पसंद आयी झूठ शर्म तुमको खुदपे aani चाहिए,1
अछाअअअअअअअ दिल खुश गयाए हाशिया भूमि बाप chayee,0
उत्कर्ष देख पाया batna,1
इकाई दहाई सैकड़ा कबीर सिंह गांड केकड़ा,0
मादरचोद,0
inn गुजराती गंदुओ उदारवादी नारीवादी क्यू इनके baap मोदी बीवी छोड़ भादवा मोदी गुलाम,0
प्रतिक भैय्याफिल्म company भलाई त्यागी iss फ़िल्म बुरा भला थाआपने तोड़ जवाब दियायह गालों मुखौटा तमाचा थाहैट्स बंद भैय्याअच्छा आपने कपटी उत्तर dekar,1
"0310 httpwwwyoutubecomwatchv=zzsaudkxq1m&t=3m10s cummon you मजाकिया दिल्ली होक साल सहसा चाहिए ""karkee दिखाऊं""",1
बेंगलोर,1
मेरे पिता gandu इतना चबता चक्र gaya,0
bolana चाहते समझ आया,1
पंकज सोलंकी ज़बरदस्त,1
मस्त महोदय #drxpharmaclasses httpwwwyoutubecomresultssearch_query=%23drxpharmaclasses,1
aare रोना सराय लोगो चक्कर मुख्य क्यों रही आपने काम करो आगे बारो,1
ऐसा गांड मार्च रहो चुतियो बॉलीवुड,0
ager ज़बान फिसल गयी bsdk लेना कैटफ़िश नौटंकी काकट केर गलतिया,0
कौनसे क्षेत्र rehte,1
group bano hum leftist jawab dena chaate hain,1
aap log rahul kedia juriye,1
film companion walo gand mar,0
suna nhi rajdeep bola undemocratic tarika,1
iss video dislike kiya choot nikla hua chutiya,0
are pratik notice kar liya aaj kya bat shubh din lagta aaj logo yhi time jab log jagrut rahe vaicharik kranti rukne mat farzi azadi bad itne sal gaye hme bewkuf bante hue thoda samay lagega par hme koshish karte rehna hoga main fir clear kar mera koi jati dharm vishesh bair par apne desh bharat sakta kisi sakta jai hind,1
banda alag sama bana deta,1
are famanist jub kaha thi jub veere wedding aayi thi usme mastrabation kerte hue dikhaya tha film tab kaha thi famanists,1
jaj paka hipatitus mariz tha angrez waaaa shakl bhikari बुरी,1
शहीद कपूर dekhna चाहिए videophirse morphine leke bhand jaegakeh,1
ekdum yeh shaandar लगा <httpswwwyoutubecomwatchv=3-k7bpio0ky>,1
1650 httpswwwyoutubecomwatchv=n_zmfqmzos0&t=16m50s oho tabhi मुख्य kahu तुम कहाँ,1
प्रतिक आपसे निवेदन किमी किमी फ़िल्म जरूरी अंश बताते करे इस्से देखने उत्साह काम जाता,1
सरल सूत्र बॉलीवुड बॉलीवुड शामाज चूका भारत वालो प्यार सिखाओ धूप लियॉन आदमी कंडोम जोड़ना करौ। अभिनय तथा कंडोम उत्पाद तगड़े बेचो अचल संपत्ति बॉलीवुड,1
जैसी फिल्मो सिर्फ हिंदुओं मज़ाक बना धर्म वैसे प्रतीक आना खिलौना कहानी उसमे राजनीति,1
उदार गांडू शुल्क स्वाद रुला nga,0
लोग मूर्ति पूजा बढ़ावा देना क्र,1
कुत्ताअर्नब goswami,1
चोपड़ा साहब गांजा पाइक बैठे सामने संतरे खरगोश आना एप्लिकेशन पूछ उन्होंने वर्षों कहाँ एते बहस केवल समय पास,1
लड़किया बकचोदी सिर्फ वीडियो करती मैं किसका रंग मैं जातिवाद रंग तथा walar अदरक तथा lasan,1
दिल्ली कभी तुम्हे randawa बाबा bejeng,1
वडा waw वडा wau वडा wau वडा wau अच्छा,1
यार फ़िल्म वास्तविकता,1
स्त्री मित्रता जबरदस्त हंसी,1
पूरी चुतियापा,1
टीएम larki कसम बाबा क्र प्रेम,1
उत्तम,1
मेरे पिता मैंने मुठ मारी इतना कब। बोलता कंबल आनंद लें कारू चरण कारू,1
ज्यादा ज़्यादा गुस्सा,1
चची muchae,1
बड़े singh,1
चाहिए रंग वातावरण खराब होगा निश्चित रूप,1
बता knsa मीडिया भारत पत्थर फेंकना फूल हैमेनस्ट्रीम मीडिया चाहते हूँसिर्फएक होंगेतक बैंड दिखता बताता कांग्रेस कमचा बैग सकताफिर टीएम बैग पहचान करोगे केएन केएन झूट हैककी दिखेगा कांग्रेस तरफ हैार बाकी मीडिया बाइक जनता twonhi खोज करलो समुद्र समाचार मालिक तिहाड़ जेल लिंग,1
nan,1
दक्षिण सहयोग आगे रहते तुम रोबोट तथा बाहुबली फुद्दू बनाते हमेशा आदमी सेना नायकों,1
आना,1
चुटिया साल,1
शिवानी महाजन यार तुम्हारे ताक़त कमल,1
कारण बॉथ वहां बच्चा naee गरीब धार्र्थी भूमि बच्च गयी hooooo,0
nan,1
ज्यादा गुस्सा आयुष्मान खुराना 'अन्धाधुन्दा' रही जिसको परिजन चुटिया मंडल वालो 'राष्ट्रीय पुरस्कार diya मतलब लोग सर्कार पैसा खिलते,1
श्वेतांक आपकी एंकरिंग थोड़ी सुधार ज़रुरत अन्यथा अचे लंगर तथा अचे आधा,1
प्रीति जैसी गर्लफ्रैंड लड़का दूसरी लड़की तरफ क्यों देखेगा।।।।। अच्छा काम मराठी चरण पडती आगे महाराष्ट्र स्त्री पुरुष समानता चलते समाज बरबाद जायेगा। मैं वास्तव आदर महिलाओं चीजें ढकी अच्छी लगती हैं। कभी कभी लगता हैं। ईसा पूर्व इस्लाम हैं।,0
बकवास वीडियो society एलजीबीटी against rakhne काफी sahayak hoag,1
मेरे पिता chutiye film samjne liye tere pass dimag kabir singh anger issues short tempered kya chahata film tere hisab bane gandu,0
jhangir ney kadam uthya galat lekin uski sicology samjheeye months prison destroyed his lifehe lost his parents that why took this stephar insaan sant mahatma sakta normal guy,1
dekho bhiyya jab tak canema tabtak log chutiye bante rahenge,1
shirt mst,1
rajveer singh chauhan pakistan donation dene wala srk sachha desh bhakt,1
behen lodo gay tumhari maa chut kanoon pass samaj tumko kabhi apna sakta samje madarchod logo tumhara naa tho value kal tha naa aaj hain nas kabhi hog tumhara kanoon pass karne wala behen loda meetha gandmara hoga thuuuuuuuuuk,0
sir apne jgha sahi agree krta hoon lekin aapne unn feminist liberals krara tamacha mara bhaiya mere dil bht sukoon mila,1
tha,1
like banta leia,1
kya baat pratik इतनी रात डालना तथा rahe आना केवल सोच देखु इतने gaye समर्थन **वैभव व्लॉग यूट्यूब channel**,1
जोकर बना,1
महोदय तारे बीच करो plz mujhe film समझ aata love महोदय परमेश्वर आशीर्वाद देना,1
bilkul महोदय aapne वीडियो yahi बॉलीवुड चूतियापे हमें चरित्र प्रतिलिपि chutiye,1
यससभी समलैंगिकों army शामिल karne चाहिए,1
केवल फ़िल्म देख आया apka opinion देखनेकेलिए बेथ gaya बोहोत अच्छी आपके अंक ekdum बराबर thike हमारी संस्कृति आईएसएस मानना रखने रोशनी फ़िल्म पसंद आएगी muze story बोहोत अच्छी lagi agar त्याग ख़तम अच्छा बकज़ jiss लड़की shadi करती uski जिंदगी barbad दिखाना chahiye tha endonoke संबंध uss पट्टी कसूर समझना चाहिए लड़िकियोको लड़को प्यार जिंदगी तबाह रही आईएसएस बिंदु फ़िल्म aani बहोत जरुरी hee तुम प्यार छोड़ देते बाकि लोग,1
नमस्कार,1
लिबर्ल्स चार फिल्मों बारे क्यों बोलते veere शादी। 2one http2one अधिक शॉट्स आनंद कहानियों। सोच,1
bosss,1
श्रेया effin धूसर भगा teleco मादरचोद हाशिया सड़क मुजरा करती हैबोलती तोह लगता नसीब गोभी badboodaar झांट भोंसड़ी vegina आवाज़ निकाल रही साली ज्यादा ऊपर प्रतिक्रिया करेगी तोह चूची काट बुझा खिला सोने होगा हाशिया साली कुटिया टेक तोह विफल गयी वापस गयी साली हाशिया wahaan laundon कुंज चूसने सहारा समय बिता देती उफ़ काम तोह चेहरा कपडा pehin पूरे दिल्ली नाच रही हाशिया बुझा कैसे परमिट kar दिए इसको apni maiyya दिल्ली सड़क chudwaane ऐसा कुटिया रवि मेरी tum bas राय पूंछो सबका बत्ती बना apni गांड दाल lena कभी हमसे पूँछ hamaara राय साली chakki माइग्रेशन जैसी teri तेरी छूट टट्टी kar apni गांड बिना धोये chala aaonga तुम कुटिया jabaan chaat saaf dena ruko tum wahinaate सीपी tumhara bur फाड़ने lund mein ग्रेनेड tere bahen maa chodunga साली खून फेंक पैसे sab sab fir tumhara number aayega,0
बकवास bematalab तृतीय class,1
निचे सरे sare opposite nature,1
arundhati रॉय number chhinar but बुध्दि gai,0
self harm kerke body banti kharab hojati बैंड kamzor hojata mota hojata fitnh rehta shakalbhi khraab hijati,1
right kaha bro logo bass desh birodh wlaa film pasand jese salman khan banata,1
jitu vishwakarma hindu,1
हमारा वही देश तलवार अनेक राजाओं जीता संस्कृति जीत पाया अफसोस हमारे देश ‍‍गांडु वजह,1
chako army pahle,1
maa kasam sahi mein bakchod thi aaj prove kar diya aapne,1
lallantop ranga bilasourabh khajdeep,1
yeh bollywood telugu remake bhaisaabmoviehttpbhaisaabmovie director same thamoviehttpthamovie bekar phir,1
communist kutti rangi bili shakal saitan aakal haivan desh dushman,1
183 dislike liberals bhosdiwalo idhar aate kyu partik paaji tusi great प्रेम पंजाब,0
mohila लाभ वर्षों हैकोई bolega likhega usko boldega mohila sonman aryakhary falana jomana cholraha democreasy golot fayada उठता महिलाओं किसीको kuch boldetaoski sonman ejjot bolke koi चीज़ nahidesh दार प्रदर्शन बारे eise sobd निकालके लोगो काम eska तथा देश राष्ट्रद्रोहों mamle action वर्षों।,1
kisi गिरफ्तार 498 सिर्फ पति केश chahiye क्योकि sirf पत्नी ज़िम्मेदारी पति,1
नरेंद्र मोदी baat झंटू अद्वितीय फ्लोट dena अद्वितीय कठिन work koi प्रतिभा वैसे chutiye सिर्फ jusroko सफाई जेली tere भूमि बातचीत मेरे मैट chuda,0
बीवी मित्रता झंडा,1
उपासना देती कयामत jati #pseudo httpwwwyoutubecomresultssearch_query=%23pseudo _feminism,1
जरूर तुम feminazi होगी इसलिए भलाई पसंद,1
तुर्किस्तान शासक उपाधि यार तथा गलत पक्ष राजू देखिये,1
लौड़ाआएभिकिरिनखली आएउसके इससे वहां नहींरलय वाली खोज राहत,1
पायल गिरफ्तार अनावश्यक रूप बग़ैर कारण क्यों अनुसार छुरा,1
autowala दिल यार,1
अविनाश shewalkar उसको संस्कृति चाहिए,1
गांड mraany बोहत ज्ञान ऑटो वली पास,0
achaa अलग cahlega तुजे भाईक्यों हैसंजो कोये भड़काया तथा हैजो शांतिपूर्ण विरोध द्वि हिंसक विरोध वालो छोड़,1
महँ आलोचक प्रतिक बोराडे,1
जियो sherfuck नारी sammanरावण लंका जलनी शुरु गयी है।अब रावण दिनो मेहमान है।,0
गयी नारीवादी दीदी,1
लगता इनको अनुमति चाहिए सेना आतंकवादियों पकडे लोग गांड मार लेंगे इससे आतंकवादियों होंगे उपस्क सवाल आया लिखूंगा,0
bilkul पूर्ण रूप सहीमेरा दिमाग ख़राब,1
छुड़ाएं,1
बोहोत अच्छा काम लगे रहो प्रतिक,1
आपका देख हमे तकलीफ रही है।,1
बहस करिये बहस करिये बहस करिये kre झोटे बजे,1
0436 httpswwwyoutubecomwatchv=fqbbwq9ol_w&t=4m36s बलात्कार लेखक देश किमी मतलब कहाँ गलत,1
कठिन iss वास्तविकता दिखाई,1
अजय नेगी देखियेऐसे लड़की अंतिम देनाइस तार्किक आंसरबहुत लोग first तारीख किश क्र लेते हैलेकिन ज़्यादा जरूरी किश दोनों सहमति फूल नहींअगर सहमति हुआतोह गलत जनाब भारतीय लड़की सामान्यीकरण टकसाली अच्छी nhikyuki ज़रूरी भारतीय ladki सुहागरात शर्मा टकसाली प्रश्न शरीर बॉलीवुड सृष्टि lekin हाँये baat true haiki zaruri nhi har पहली मुलाकात mein kiss kre,1
feminist स्थान,0
भक्तस बारे bolo,1
कमीज,1
sadak par baith katora lekar fir kar,1
nan,1
apki videos dekne baad मेरी life सेट hoo raha focus golas,1
ranga rajdeep billa,1
मेरे दोस्त बोहोत अच्छी वीडियो बनाई हमारे देश परेशानी लोग सलमान शाहरख आमिर चूतियों बड़ा फालतू बातें वही खुद प्यार हवस पैदा जिनको प्यार मतलब समझेंगे अपन समझायेंगे मादरचोद ऐसा सोचने जिन्हे कला देखना स्टार देखते अदाकारी हरामज़ादी नज़रों सिर्फ हरामखोर बेस सेल भोसड़ीके लोग लोग औरतों पैदाइश पति अलावा दूसरों चुद इनलोगों गलत मालूम लोगों वजह देश घरों औरतों मानसिकता ख़राब रही,0
aap नायक jyada cute dikhte sweet,1
mera सवाल ager ase चलता hara larki lok किस्से pyar karenge gay buri hoag भविष्य होग। समलैंगिक hote प्रेम समलैंगिक sex gay जाते thik ager प्यार लिंग चोर प्यार दिखाओ मनु tumlok साधारण लोगो अलग,1
section 375 ज्यादा screen देना चाहिए सिर्फ 600 700aur हिंदुस्तान दौड़ शून्य जैसी bakwaas फिल्मो 6000 स्क्रीन kya,1
सनातन हिन्दू धर्म jee अच्छाआप log मिल kar हिन्दू जगाइए,1
लोग no। चित्र जरूर देखने जाओ य्र्र,1
आशीर्वाद sir कहाँ,1
चूतिए कपिल ratta परंतु आया इसको राग गाना भोसड़ी वाला kanhaiya कुत्ता लगता,0
रंडी,0
महोदय आपकी बातो मेरे दिल सुकून मिला,1
भारत world बड़ा जनतंत्र जहा hum लोग सबके समानता hme साबित करनी होगी सबको equal इलाज krke इसलिए हमे gender kisi देश krne अनुपस्थित rokna चाहिए iske अलावा लोगो लिंग zyada काम फोकस krna चाहिएथैंक्यू इसलिए sir,1
हीकैसेहो,1
बड़े सिंह छोड़ डाला,0
यार रिहा थासब लोग keh raha खाड़ी इसलिए देखा झांड़,1
प्रकार जानवर leke ghumne walo डॉक्टरों भाप kiya zarurat वहां,1
अभिनय धागा,1
कहाँ भेनचोद सूखा दिल ख़तम कुरदुंगा कक्ष gandduuuu,0
अनिल भार्गव bhsi ठीक चीज़ो अलग विडिओ बना,1
प्राप्त sali kooo,0
गुल्लक टीवी प्रदर्शन करो,1
जितने नारीवादियों libralsh अनुसार,1
महोदय pehe इंसान महिला दोनों अपराध,1
साहू चाल तेसर करो,1
chutiye तेरे लाल,1
कारणों देय,1
nan,1
लक्ष्य चौधरी जानते कहाँ आपके अच्छे कंद,1
बड़े सिंह हिंदी गालिया मूक करके rakha🤐 अंग्रेज़ी भाषा हिन्दी openle रखा फूल मतलब लोगोको अंग्रेज़ी गलियां अर्थ मालूम nahin लोग चुटिया लोगोको मालूम लानत matlab,1
tum इधर उधर bat करतेहो यार बोरियत,1
उठना मीडिया आधा karo,1
बाएं पत्रकार log bipin rawat piche pad जायेगी jabardasti समलैंगिक घुसाने कोशिश karenge gayi army gayi,1
हीरोइन पिता gand बातचीत chat kay heroine mbbs mei join karwaya villan iss chuthiya ney heroine pergnant karkey chode studies बंद krawadiya सच्चा lover wahhhh rey bollywood,0
release phale kase kar raha,0
"rahat ahmed arey tarah lenaye real life thodi hekya sab film laila magnu hona chaiye""kuchh alag karne kya burai",1
ladki marna hinsa krna konsi sanskriti hoti tumhari,0
chief khud chakke hain,0
jane kitne pagal kutto lund chut may leke jane arundhuti kutti rand paida kiya tha,0
unki iksha hui andar hahahaha,1
one thing more- this kabir singh kabir singh ladki chakkar mein apne family stake par daal shadi spoil,1
modal hata sala,1
bahut bolta thoda chota video banaya kar,1
lawliet abe chutiye tuje kuch kya mai lavde gand maarva,0
rahul singh bahadurgarh haryana,1
रेपिस्ट सजा निर्दोष सजा होनी चाहिए,1
hetu reep hindu log keya kush politics ledar peche inlogunko मकड़ी जाला karahahai जरूर कांग्रेस walonka,1
वास्तविक तोह गोलमाल प्रकार mindless बनाओ iss तोह आया,1
उपाध्यक्ष कुत्ता नाम रखने जरुरत hume pata तुम kutte,1
अनमोल गोयल फिरकी चिकनी मिट्टी,1
राजीव उसने वीडियो अच्छा लगता,1
ठीक धन्यवाद,1
इनकी उदारवादी छोड़ देंगे,0
दिख,1
इसीलिए bina वीडियो देखे टिप्पणी,1
sahi तभी सरकार iss घटिया कानून कभी नहीँ देगी,1
पसंद thoko मेरा जन्मदिन,1
sarwat नजर आया,1
jst मदद घंटे तुम चला मरे जान्ने लड़की छोड़ गयी कहाँ उपहार चूसना उसने कबि उपहार hth लगाया,1
वंशी bommena,1
उतना आसान मूल बातें नाजी कहना,1
तोह मार्टम परंतु पूर्ण रूप सच। अच्छी नाम बताओ देखने लायक,1
"अंतिम लाइन ""अगर समझ इनमे बाते तथा",1
बकवास सेना दूर रखना चाहिए,1
पुरे साल इतना हस्सा इसलिए,1
इसलिए सिनेमा लोग चुटिया बनते रहेंगे,1
कुत्ते प्यार,1
इसीलिए बिना वीडियो देखे टिप्पणी वीडियो देखिये जवाब मिल जायेंगे बड़े सिंह चार अधिक शॉट्स कृप्या तुलना,1
रविश कुमार अभिशार शर्मा बरखा दत्त शहरी नक्सली लोग मोदी आना बहस झूट फैलाते बुराई प्रचार प्रसार,1
लिंग तथा प्रेम विभिन्न मतलब लिंग करो 2-3 लड़को शादी अच्छे सरकार काम लड़का करो कहना चाहती,0
सेना युद्ध लड़ने जाते मरवाने सेना योद्धा जाने बिल्कुल हिजड़े,0
उकसा पृष्ठभूमि संगीत जानवर आजाता,1
अर्पित जैस्वाल,1
उदारवादी छोड़ो कहाँ chutiye ऊँची चाँदी रवि करो शहीद अभिनय music आपको अर्जुन रेड्डी देख लगा कहाँ बताओ नया,1
नरेंद्र मोदी प्रभाव मात्र राजनैतिक बल्की कुंठित वामपंथ ध्वस्त रहें जिसने हमारे समाज क्षेत्र भारतीयता दशकों हसिए धकेलने अनवरत कुचेष्टा है।,1
महोदय 'छिछोरी' बारे राय डिगये,1
nan,1
आधा समझ आता।,1
कांग्रेस kuthiya bolthi,1
आर्मी हि^#& व्यक्ति काम है। बुरा है। हिंद फौज। भारत आर्मी दुश्मनो चाल कमज़ोर कभी होगा हिंद,1
जरिए नेता आधा जाओ फ़िल्म ज्यादा political मारो,1
उल्लू बनाना नारीवाद देश गांड समुद्र रखी,0
काम जोड़ना ज्यादा बार बार आने mng केकड़ा लोग धावन स्थान,1
कुमार मेरे पिता तेरे बड़े सिंह लड़का तेरा खिचाई करेगा देख यहां बेवजा टुकड़े टुकड़े जाओ आपके पासफिल्म ज्यादा ज्यादा लोग पसंद तेरा गांड क्यु खुजली,1
लिखना सिख जेक,1
प्रकार करार हिंदी baccio नहींलेकिन बताये विपक्ष ज़माने,1
nan,1
वदो बताया msg rong thaa ऐसा nai chaziye kisi zindgi बर्बाद kane hume koi haq nai,1
but isse declining sex अनुपात chli jygi,0
tum khud buht bada kuta bhonkta rehta,1
sab kya urban naxal,1
अरे सौरभ इसने आपको कर्ज़ रखा दुखती दबा रखी है। खुद vedio बनाने पैसा देता है। काम दो।,1
bilkul sahi bol rehe sir with prove,1
"gaya ""titans sena"" leke",1
jyadatar galat istamal hora,1
maybe karne wala hoon talaq baad,1
etna trailer dekh pta gya tha,1
bilkul hone sahie unlogoki banduke hamesa galat jageh par goli marte,1
kabir singh dekho superb dil khush gaya,1
rajdeep sardesai khud gandi soch patrakar independent journalism karta,1
jali yaaar,1
aap mndi,1
sir arjun reddy hindi dekhna chahata kha milegiplz sir,1
mai bahut ise intzar ker raha tha thanks bhaiya soke utha tvi mai apka yeh video dekh khush hogaya,1
shwetabh,1
pta nhi indians soch bdlegi सेना garenal aesa bol rha logo kya उम्मीद तथा मिरगी ग्रस्त,1
truthshallsetyoufree mujhe काम dila आईएएस कार्यालयों मुख्य ईसाई आधा जाऊंगा,1
1725 httpswwwyoutubecomwatchv=n_zmfqmzos0&t=17m25s तुम भोस्डिके स्वयं हरमकरर thee,0
ज्ञान खाना बातो करो,1
